index,match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
3023,13,126,1,19.5,6,Vijay Shankar,Shardul Thakur,"Shardul Thakur to Vijay Shankar, Six,",6
3024,13,127,1,19.6,1lb,Vijay Shankar,Shardul Thakur,"Shardul Thakur to Vijay Shankar, 1 leg bye,",1
3025,13,1,2,0.1,0,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, no run,",0
3026,13,2,2,0.2,0,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, no run,",0
3027,13,3,2,0.3,0,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, no run,",0
3028,13,4,2,0.4,0,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, no run,",0
3029,13,5,2,0.5,2,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, 2 runs,",2
3030,13,6,2,0.6,0,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, no run,",0
3031,13,7,2,1.1,0,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, no run,",0
3032,13,8,2,1.2,4,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, Four,",4
3033,13,9,2,1.3,1,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, 1 run,",1
3034,13,10,2,1.4,6,Rahmanullah Gurbaz,Josh Little,"Josh Little to Rahmanullah Gurbaz, Six,",6
3035,13,11,2,1.5,0,Rahmanullah Gurbaz,Josh Little,"Josh Little to Rahmanullah Gurbaz, no run,",0
3036,13,12,2,1.6,1,Rahmanullah Gurbaz,Josh Little,"Josh Little to Rahmanullah Gurbaz, 1 run,",1
3037,13,13,2,2.1,4,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, Four,",4
3038,13,14,2,2.2,2,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, 2 runs,",2
3039,13,15,2,2.3,w,Rahmanullah Gurbaz,Mohammed Shami,"Mohammed Shami to Rahmanullah Gurbaz, no run,                           Wicket - c Yash Dayal b M Shami batsmen out 15(12)",0
3040,13,16,2,2.4,0,Venkatesh Iyer,Mohammed Shami,"Mohammed Shami to Venkatesh Iyer, no run,",0
3041,13,17,2,2.5,6,Venkatesh Iyer,Mohammed Shami,"Mohammed Shami to Venkatesh Iyer, Six,",6
3042,13,18,2,2.6,0,Venkatesh Iyer,Mohammed Shami,"Mohammed Shami to Venkatesh Iyer, no run,",0
3043,13,19,2,3.1,1,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, 1 run,",1
3044,13,20,2,3.2,1,Venkatesh Iyer,Josh Little,"Josh Little to Venkatesh Iyer, 1 run,",1
3045,13,21,2,3.3,0,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, no run,",0
3046,13,22,2,3.4,0,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, no run,",0
3047,13,23,2,3.5,0,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, no run,",0
3048,13,24,2,3.6,w,Narayan Jagadeesan,Josh Little,"Josh Little to Narayan Jagadeesan, no run,                           Wicket - c A Manohar b Josh Little batsmen out 6(8)",0
3049,13,25,2,4.1,0,Venkatesh Iyer,Mohammed Shami,"Mohammed Shami to Venkatesh Iyer, no run,",0
3050,13,26,2,4.2,1,Venkatesh Iyer,Mohammed Shami,"Mohammed Shami to Venkatesh Iyer, 1 run,",1
3051,13,27,2,4.3,1,Nitish Rana,Mohammed Shami,"Mohammed Shami to Nitish Rana, 1 run,",1
3052,13,28,2,4.4,4,Venkatesh Iyer,Mohammed Shami,"Mohammed Shami to Venkatesh Iyer, Four,",4
3053,13,29,2,4.5,1,Venkatesh Iyer,Mohammed Shami,"Mohammed Shami to Venkatesh Iyer, 1 run,",1
3054,13,30,2,4.6,2,Nitish Rana,Mohammed Shami,"Mohammed Shami to Nitish Rana, 2 runs,",2
3055,13,31,2,5.1,0,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, no run,",0
3056,13,32,2,5.2,4,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, Four,",4
3057,13,33,2,5.3,0,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, no run,",0
3058,13,34,2,5.4,1,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, 1 run,",1
3059,13,35,2,5.5,1lb,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, 1 leg bye,",1
3060,13,36,2,5.6,0,Venkatesh Iyer,Alzarri Joseph,"Alzarri Joseph to Venkatesh Iyer, no run,",0
3061,13,37,2,6.1,1,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, 1 run,",1
3062,13,38,2,6.2,4,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, Four,",4
3063,13,39,2,6.3,6,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, Six,",6
3064,13,40,2,6.4,1,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, 1 run,",1
3065,13,41,2,6.5,0,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, no run,",0
3066,13,42,2,6.6,1,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, 1 run,",1
3067,13,43,2,7.1,0,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, no run,",0
3068,13,44,2,7.2,0,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, no run,",0
3069,13,45,2,7.3,6,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, Six,",6
3070,13,46,2,7.4,0,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, no run,",0
3071,13,47,2,7.5,0,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, no run,",0
3072,13,48,2,7.6,6,Nitish Rana,Alzarri Joseph,"Alzarri Joseph to Nitish Rana, Six,",6
3073,13,49,2,8.1,2,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, 2 runs,",2
3074,13,50,2,8.2,1,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, 1 run,",1
3075,13,51,2,8.3,1,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, 1 run,",1
3076,13,52,2,8.4,1,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, 1 run,",1
3077,13,53,2,8.5,4,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, Four,",4
3078,13,54,2,8.6,1,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, 1 run,",1
3079,13,55,2,9.1,1,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, 1 run,",1
3080,13,56,2,9.2,4,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, Four,",4
3081,13,57,2,9.3,1,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, 1 run,",1
3082,13,58,2,9.4,0,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, no run,",0
3083,13,59,2,9.5,1,Nitish Rana,Yash Dayal,"Yash Dayal to Nitish Rana, 1 run,",1
3084,13,60,2,9.6,1,Venkatesh Iyer,Yash Dayal,"Yash Dayal to Venkatesh Iyer, 1 run,",1
3085,13,61,2,10.1,1,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, 1 run,",1
3086,13,62,2,10.2,0,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, no run,",0
3087,13,63,2,10.3,1,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, 1 run,",1
3088,13,64,2,10.4,6,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, Six,",6
3089,13,65,2,10.5,1,Venkatesh Iyer,Rashid Khan,"Rashid Khan to Venkatesh Iyer, 1 run,",1
3090,13,66,2,10.6,4,Nitish Rana,Rashid Khan,"Rashid Khan to Nitish Rana, Four,",4
